"ReferenceId","PolicyDefinitionId","DisplayName","DefaultEffect","AllowedEffects","PreferredEffect"
"ef619a2c-cc4d-4d03-b2ba-8c94a834d85b","/providers/Microsoft.Authorization/policyDefinitions/ef619a2c-cc4d-4d03-b2ba-8c94a834d85b","API Management services should use a virtual network","Audit","Audit, Deny, Disabled","Deny"
"f06ddb64-5fa3-4b77-b166-acb36f7f6042","/providers/Microsoft.Authorization/policyDefinitions/f06ddb64-5fa3-4b77-b166-acb36f7f6042","Kubernetes cluster pods and containers should only run with approved user and group IDs","Audit","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"f4b53539-8df9-40e4-86c6-6b607703bd4e","/providers/Microsoft.Authorization/policyDefinitions/f4b53539-8df9-40e4-86c6-6b607703bd4e","Disk encryption should be enabled on Azure Data Explorer","Audit","Audit, Deny, Disabled","Deny"
"f7d52b2d-e161-4dfa-a82b-55e564167385","/providers/Microsoft.Authorization/policyDefinitions/f7d52b2d-e161-4dfa-a82b-55e564167385","Azure Synapse workspaces should use customer-managed keys to encrypt data at rest","Audit","Audit, Deny, Disabled","Deny"
"fa298e57-9444-42ba-bf04-86e8470e32c7","/providers/Microsoft.Authorization/policyDefinitions/fa298e57-9444-42ba-bf04-86e8470e32c7","Saved-queries in Azure Monitor should be saved in customer storage account for logs encryption","Audit","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"fc4d8e41-e223-45ea-9bf5-eada37891d87","/providers/Microsoft.Authorization/policyDefinitions/fc4d8e41-e223-45ea-9bf5-eada37891d87","Virtual machines and virtual machine scale sets should have encryption at host enabled","Audit","Audit, Deny, Disabled","Deny"
"febd0533-8e55-448f-b837-bd0e06f16469","/providers/Microsoft.Authorization/policyDefinitions/febd0533-8e55-448f-b837-bd0e06f16469","Kubernetes cluster containers should only use allowed images","Deny","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"functionAppEnforceHttpsMonitoring","/providers/Microsoft.Authorization/policyDefinitions/6d555dd1-86f2-4f1c-8ed7-5abae7c6cbab","Function apps should only be accessible over HTTPS","Audit","Audit, Disabled, Deny","Deny"
"onlySecureConnectionsToYourRedisCacheShouldBeEnabled","/providers/Microsoft.Authorization/policyDefinitions/22bee202-a82f-4305-9a2a-6d7f44d4dedb","Only secure connections to your Azure Cache for Redis should be enabled","Audit","Audit, Deny, Disabled","Deny"
"Prerequisite_AddSystemIdentityWhenNone","/providers/Microsoft.Authorization/policyDefinitions/3cf2ab00-13f1-4d0c-8971-2ac904541a7e","Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities","modify","(fixed: modify)","modify"
"Prerequisite_AddSystemIdentityWhenUser","/providers/Microsoft.Authorization/policyDefinitions/497dff13-db2a-4c0f-8603-28fa3b331ab6","Add system-assigned managed identity to enable Guest Configuration assignments on VMs with a user-assigned identity","modify","(fixed: modify)","modify"
"Prerequisite_DeployExtensionLinux","/providers/Microsoft.Authorization/policyDefinitions/331e8ea8-378a-410f-a2e5-ae22f38bb0da","Deploy the Linux Guest Configuration extension to enable Guest Configuration assignments on Linux VMs","deployIfNotExists","(fixed: deployIfNotExists)","deployIfNotExists"
"Prerequisite_DeployExtensionWindows","/providers/Microsoft.Authorization/policyDefinitions/385f5831-96d4-41db-9a3c-cd3af78aaae6","Deploy the Windows Guest Configuration extension to enable Guest Configuration assignments on Windows VMs","deployIfNotExists","(fixed: deployIfNotExists)","deployIfNotExists"
"serviceFabricClustersShouldOnlyUseAzureActiveDirectoryForClientAuthentication","/providers/Microsoft.Authorization/policyDefinitions/b54ed75b-3e1a-44ac-a333-05ba39b99ff0","Service Fabric clusters should only use Azure Active Directory for client authentication","Audit","Audit, Deny, Disabled","Deny"
"webAppEnforceHttpsMonitoring","/providers/Microsoft.Authorization/policyDefinitions/a4af4a39-4135-47fb-b175-47fbdf85311d","App Service apps should only be accessible over HTTPS","Audit","Audit, Disabled, Deny","Deny"
